No.,Time,Source,Destination,Protocol,Length,Info,,Time 1,Time 2,Delay,,Delay 1,Delay 2,Jitter
130,9.402044,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.402044,9.402044,0,,0,0,0
131,9.402044,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.402044,9.402044,0,,0,0,0
132,9.402044,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.402044,9.402044,0,,-0.003541,0.003541,0.007082
133,9.402044,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.402044,9.405585,0.003541,,0.003541,0,-0.003541
134,9.405585,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.405585,9.405585,0,,0,0,0
135,9.405585,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.405585,9.405585,0,,0,0,0
136,9.405585,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.405585,9.405585,0,,-0.00013,0.00013,0.00026
137,9.405585,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.405585,9.405715,0.00013,,-0.001652,0.001782,0.003434
138,9.405715,192.168.1.40,103.111.138.76,UDP,75,60695  >  443 Len=33,,9.405715,9.407497,0.001782,,0.001782,0,-0.001782
139,9.407497,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.407497,9.407497,0,,0,0,0
140,9.407497,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.407497,9.407497,0,,0,0,0
141,9.407497,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.407497,9.407497,0,,-0.002295,0.002295,0.00459
142,9.407497,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.407497,9.409792,0.002295,,0.002295,0,-0.002295
143,9.409792,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.409792,9.409792,0,,0,0,0
144,9.409792,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.409792,9.409792,0,,0,0,0
145,9.409792,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.409792,9.409792,0,,-0.00014,0.00014,0.00028
146,9.409792,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.409792,9.409932,0.00014,,-0.002064,0.002204,0.004268
147,9.409932,192.168.1.40,103.111.138.76,UDP,75,60695  >  443 Len=33,,9.409932,9.412136,0.002204,,0.002204,0,-0.002204
148,9.412136,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.412136,9.412136,0,,0,0,0
149,9.412136,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.412136,9.412136,0,,0,0,0
150,9.412136,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.412136,9.412136,0,,-0.003563,0.003563,0.007126
